1,3458A,2022-01-07_17:11:42,1.0000025580,0.0,0.0
2,3457A,2022-01-07_17:11:42,1.0000062000,0.0,0.0
3,3458A,2022-01-07_17:11:44,1.0000020750,0.0,0.0
4,3457A,2022-01-07_17:11:44,1.0000045000,0.0,0.0
5,3458A,2022-01-07_17:11:46,1.0000021630,0.0,0.0
6,3457A,2022-01-07_17:11:46,1.0000038000,0.0,0.0
7,3458A,2022-01-07_17:11:47,1.0000028650,0.0,0.0
8,3457A,2022-01-07_17:11:47,1.0000054000,0.0,0.0
9,3458A,2022-01-07_17:11:50,1.0000020310,0.0,0.0
10,3457A,2022-01-07_17:11:50,1.0000052000,0.0,0.0
11,3458A,2022-01-07_17:11:52,1.0000021780,0.0,0.0
12,3457A,2022-01-07_17:11:52,1.0000053000,0.0,0.0
13,3458A,2022-01-07_17:11:53,1.0000021340,0.0,0.0
14,3457A,2022-01-07_17:11:53,1.0000051000,0.0,0.0
15,3458A,2022-01-07_17:11:55,1.0000027040,0.0,0.0
16,3457A,2022-01-07_17:11:55,1.0000053000,0.0,0.0
17,3458A,2022-01-07_17:11:58,1.0000022950,0.0,0.0
18,3457A,2022-01-07_17:11:58,1.0000050000,0.0,0.0
19,3458A,2022-01-07_17:12:00,1.0000021480,0.0,0.0
20,3457A,2022-01-07_17:12:00,1.0000049000,0.0,0.0
21,3458A,2022-01-07_17:12:01,1.0000025580,22.58,38.29
22,3457A,2022-01-07_17:12:01,1.0000047000,22.58,38.29
23,3458A,2022-01-07_17:12:03,1.0000023680,22.55,38.28
24,3457A,2022-01-07_17:12:03,1.0000045000,22.55,38.28
25,3458A,2022-01-07_17:12:06,1.0000024850,22.58,38.28
26,3457A,2022-01-07_17:12:06,1.0000047000,22.58,38.28
27,3458A,2022-01-07_17:12:08,1.0000021920,22.59,38.25
28,3457A,2022-01-07_17:12:08,1.0000064000,22.59,38.25
29,3458A,2022-01-07_17:12:09,1.0000026750,22.54,38.26
30,3457A,2022-01-07_17:12:09,1.0000056000,22.54,38.26
31,3458A,2022-01-07_17:12:12,1.0000027630,22.54,38.27
32,3457A,2022-01-07_17:12:12,1.0000046000,22.54,38.27
33,3458A,2022-01-07_17:12:14,1.0000028940,22.58,38.28
34,3457A,2022-01-07_17:12:14,1.0000060000,22.58,38.28
